date,home,away,home_score,away_score,tournament,neutral
2010-01-02,Iran,North Korea,1,0,Friendly,TRUE
2010-01-02,Qatar,Mali,0,0,Friendly,FALSE
2010-01-04,Egypt,Mali,1,0,Friendly,TRUE
2010-01-04,Tanzania,Ivory Coast,0,1,Friendly,FALSE
2010-01-05,Ghana,Malawi,0,0,Friendly,TRUE
2010-01-06,Kuwait,Australia,2,2,AFC Asian Cup qualification,FALSE
2010-01-06,Singapore,Iran,1,3,AFC Asian Cup qualification,FALSE
2010-01-06,Thailand,Jordan,0,0,AFC Asian Cup qualification,FALSE
2010-01-06,Yemen,Japan,2,3,AFC Asian Cup qualification,FALSE
2010-01-07,Rwanda,Ivory Coast,0,2,Friendly,TRUE
2010-01-09,Tunisia,Gambia,1,2,Friendly,FALSE
2010-01-09,Zambia,South Korea,4,2,Friendly,TRUE
2010-01-11,Ivory Coast,Burkina Faso,0,0,African Cup of Nations,TRUE
2010-01-11,Malawi,Algeria,3,0,African Cup of Nations,TRUE
2010-01-12,Egypt,Nigeria,3,1,African Cup of Nations,TRUE
2010-01-13,Zambia,Tunisia,1,1,African Cup of Nations,TRUE
2010-01-14,Mali,Algeria,0,1,African Cup of Nations,TRUE
2010-01-15,Ivory Coast,Ghana,3,1,African Cup of Nations,TRUE
2010-01-16,Egypt,Mozambique,2,0,African Cup of Nations,TRUE
2010-01-17,Gabon,Tunisia,0,0,African Cup of Nations,TRUE
2010-01-18,Angola,Algeria,0,0,African Cup of Nations,FALSE
2010-01-18,Finland,South Korea,0,2,Friendly,TRUE
2010-01-19,Burkina Faso,Ghana,0,1,African Cup of Nations,TRUE
2010-01-20,Chile,Panama,2,1,Friendly,FALSE
2010-01-20,Egypt,Benin,2,0,African Cup of Nations,TRUE
2010-01-20,Oman,Sweden,0,1,Friendly,FALSE
2010-01-21,Cameroon,Tunisia,2,2,African Cup of Nations,TRUE
2010-01-22,Latvia,South Korea,0,1,Friendly,TRUE
2010-01-23,Syria,Sweden,1,1,Friendly,FALSE
2010-01-23,United States,Honduras,1,3,Friendly,FALSE
2010-01-24,Angola,Ghana,0,1,African Cup of Nations,FALSE
2010-01-24,Ivory Coast,Algeria,2,3,African Cup of Nations,TRUE
2010-01-25,Egypt,Cameroon,3,1,African Cup of Nations,TRUE
2010-01-26,Argentina,Costa Rica,3,2,Friendly,FALSE
2010-01-27,South Africa,Zimbabwe,3,0,Friendly,FALSE
2010-01-28,Algeria,Egypt,0,4,African Cup of Nations,TRUE
2010-01-28,Ghana,Nigeria,1,0,African Cup of Nations,TRUE
2010-01-30,Nigeria,Algeria,1,0,African Cup of Nations,TRUE
2010-01-31,Ghana,Egypt,0,1,African Cup of Nations,TRUE
2010-01-31,Jamaica,Canada,1,0,Friendly,FALSE
2010-02-02,Japan,Venezuela,0,0,Friendly,FALSE
2010-02-06,Japan,China,0,0,EAFF Championship,FALSE
2010-02-07,South Korea,Hong Kong,5,0,EAFF Championship,TRUE
2010-02-10,Argentina,Jamaica,2,1,Friendly,FALSE
2010-02-10,China,South Korea,3,0,EAFF Championship,TRUE
2010-02-11,Japan,Hong Kong,3,0,EAFF Championship,FALSE
2010-02-14,Japan,South Korea,1,3,EAFF Championship,FALSE
2010-02-24,Mexico,Bolivia,5,0,Friendly,TRUE
2010-02-24,United States,El Salvador,2,1,Friendly,FALSE
2010-02-25,Jordan,Azerbaijan,0,2,Friendly,FALSE
2010-03-02,Republic of Ireland,Brazil,0,2,Friendly,TRUE
2010-03-03,Algeria,Serbia,0,3,Friendly,FALSE
2010-03-03,Australia,Indonesia,1,0,AFC Asian Cup qualification,FALSE
2010-03-03,Austria,Denmark,2,1,Friendly,FALSE
2010-03-03,Belgium,Croatia,0,1,Friendly,FALSE
2010-03-03,Bosnia and Herzegovina,Ghana,2,1,Friendly,FALSE
2010-03-03,England,Egypt,3,1,Friendly,FALSE
2010-03-03,France,Spain,0,2,Friendly,FALSE
2010-03-03,Germany,Argentina,0,1,Friendly,FALSE
2010-03-03,Greece,Senegal,0,2,Friendly,FALSE
2010-03-03,Iran,Thailand,1,0,AFC Asian Cup qualification,FALSE
2010-03-03,Ivory Coast,South Korea,0,2,Friendly,TRUE
2010-03-03,Japan,Bahrain,2,0,AFC Asian Cup qualification,FALSE
2010-03-03,Jordan,Singapore,2,1,AFC Asian Cup qualification,FALSE
2010-03-03,Mexico,New Zealand,2,0,Friendly,TRUE
2010-03-03,Netherlands,United States,2,1,Friendly,FALSE
2010-03-03,Nigeria,DR Congo,5,2,Friendly,FALSE
2010-03-03,Portugal,China,2,0,Friendly,FALSE
2010-03-03,Scotland,Czech Republic,1,0,Friendly,FALSE
2010-03-03,Slovakia,Norway,0,1,Friendly,FALSE
2010-03-03,Slovenia,Qatar,4,1,Friendly,FALSE
2010-03-03,South Africa,Namibia,1,1,Friendly,FALSE
2010-03-03,Switzerland,Uruguay,1,3,Friendly,FALSE
2010-03-03,Turkey,Honduras,2,0,Friendly,FALSE
2010-03-03,Uzbekistan,United Arab Emirates,0,1,AFC Asian Cup qualification,FALSE
2010-03-03,Venezuela,Panama,1,2,Friendly,FALSE
2010-03-03,Wales,Sweden,0,1,Friendly,FALSE
2010-03-17,Mexico,North Korea,2,1,Friendly,FALSE
2010-03-24,Martinique,Haiti,0,0,Friendly,FALSE
2010-03-24,Mexico,Iceland,0,0,Friendly,TRUE
2010-03-31,Paraguay,South Africa,1,1,Friendly,FALSE
2010-04-07,Japan,Serbia,0,3,Friendly,FALSE
2010-04-22,South Africa,North Korea,0,0,Friendly,TRUE
2010-04-28,South Africa,Jamaica,2,0,Friendly,TRUE
2010-05-05,Argentina,Haiti,4,0,Friendly,FALSE
2010-05-07,Mexico,Ecuador,0,0,Friendly,TRUE
2010-05-10,Mexico,Senegal,1,0,Friendly,TRUE
2010-05-13,Germany,Malta,3,0,Friendly,FALSE
2010-05-13,Mexico,Angola,1,0,Friendly,TRUE
2010-05-15,Paraguay,North Korea,1,0,Friendly,TRUE
2010-05-16,South Korea,Ecuador,2,0,Friendly,FALSE
2010-05-16,Mexico,Chile,1,0,Friendly,FALSE
2010-05-16,South Africa,Thailand,4,0,Friendly,FALSE
2010-05-19,Austria,Croatia,0,1,Friendly,FALSE
2010-05-19,Belgium,Bulgaria,2,1,Friendly,FALSE
2010-05-21,DR Congo,Saudi Arabia,0,2,Friendly,TRUE
2010-05-22,Turkey,Czech Republic,2,1,Friendly,TRUE
2010-05-23,Croatia,Wales,2,0,Friendly,FALSE
2010-05-24,Argentina,Canada,5,0,Friendly,FALSE
2010-05-24,Australia,New Zealand,2,1,Friendly,FALSE
2010-05-24,England,Mexico,3,1,Friendly,FALSE
2010-05-24,Japan,South Korea,0,2,Friendly,FALSE
2010-05-24,Portugal,Cape Verde,0,0,Friendly,FALSE
2010-05-24,South Africa,Bulgaria,1,1,Friendly,FALSE
2010-05-25,Armenia,Uzbekistan,3,1,Friendly,FALSE
2010-05-25,Republic of Ireland,Paraguay,2,1,Friendly,FALSE
2010-05-25,Nigeria,Saudi Arabia,0,0,Friendly,TRUE
2010-05-25,United States,Czech Republic,2,4,Friendly,FALSE
2010-05-26,Estonia,Croatia,0,0,Friendly,FALSE
2010-05-26,France,Costa Rica,2,1,Friendly,FALSE
2010-05-26,Netherlands,Mexico,2,1,Friendly,TRUE
2010-05-26,Northern Ireland,Turkey,0,2,Friendly,TRUE
2010-05-26,Uruguay,Israel,4,1,Friendly,FALSE
2010-05-27,Denmark,Senegal,2,0,Friendly,FALSE
2010-05-27,South Africa,Colombia,2,1,Friendly,FALSE
2010-05-28,Republic of Ireland,Algeria,3,0,Friendly,FALSE
2010-05-29,Hungary,Germany,0,3,Friendly,FALSE
2010-05-29,New Zealand,Serbia,1,0,Friendly,TRUE
2010-05-29,Norway,Montenegro,2,1,Friendly,FALSE
2010-05-29,Spain,Saudi Arabia,3,2,Friendly,TRUE
2010-05-29,Sweden,Bosnia and Herzegovina,4,2,Friendly,FALSE
2010-05-29,United States,Turkey,2,1,Friendly,FALSE
2010-05-29,Venezuela,Canada,1,1,Friendly,FALSE
2010-05-30,Belarus,South Korea,1,0,Friendly,TRUE
2010-05-30,Japan,England,1,2,Friendly,TRUE
2010-05-30,Mexico,Gambia,5,1,Friendly,TRUE
2010-05-30,Nigeria,Colombia,1,1,Friendly,TRUE
2010-05-30,Paraguay,Ivory Coast,2,2,Friendly,TRUE
2010-05-30,Tunisia,France,1,1,Friendly,FALSE
2010-05-31,South Africa,Guatemala,5,0,Friendly,FALSE
2010-06-01,Australia,Denmark,1,0,Friendly,TRUE
2010-06-01,Netherlands,Ghana,4,1,Friendly,FALSE
2010-06-01,Portugal,Cameroon,3,1,Friendly,FALSE
2010-06-01,Switzerland,Costa Rica,0,1,Friendly,FALSE
2010-06-02,Belarus,Sweden,0,1,Friendly,FALSE
2010-06-02,Greece,Paraguay,0,2,Friendly,TRUE
2010-06-02,Norway,Ukraine,0,1,Friendly,FALSE
2010-06-02,Zimbabwe,Brazil,0,3,Friendly,FALSE
2010-06-03,Germany,Bosnia and Herzegovina,3,1,Friendly,FALSE
2010-06-03,Italy,Mexico,1,2,Friendly,TRUE
2010-06-03,Spain,South Korea,1,0,Friendly,TRUE
2010-06-04,France,China,0,1,Friendly,TRUE
2010-06-04,Japan,Ivory Coast,0,2,Friendly,TRUE
2010-06-04,Slovenia,New Zealand,3,1,Friendly,FALSE
2010-06-05,Algeria,United Arab Emirates,1,0,Friendly,TRUE
2010-06-05,Australia,United States,1,3,Friendly,TRUE
2010-06-05,Ghana,Latvia,1,0,Friendly,TRUE
2010-06-05,Netherlands,Hungary,6,1,Friendly,FALSE
2010-06-05,South Africa,Denmark,1,0,Friendly,FALSE
2010-06-05,Switzerland,Italy,1,1,Friendly,FALSE
2010-06-07,Tanzania,Brazil,1,5,Friendly,FALSE
2010-06-08,Mozambique,Portugal,0,3,Friendly,TRUE
2010-06-08,Spain,Poland,6,0,Friendly,FALSE
2010-06-11,South Africa,Mexico,1,1,FIFA World Cup,FALSE
2010-06-11,Uruguay,France,0,0,FIFA World Cup,TRUE
2010-06-12,Argentina,Nigeria,1,0,FIFA World Cup,TRUE
2010-06-12,England,United States,1,1,FIFA World Cup,TRUE
2010-06-12,South Korea,Greece,2,0,FIFA World Cup,TRUE
2010-06-13,Algeria,Slovenia,0,1,FIFA World Cup,TRUE
2010-06-13,Germany,Australia,4,0,FIFA World Cup,TRUE
2010-06-13,Serbia,Ghana,0,1,FIFA World Cup,TRUE
2010-06-14,Italy,Paraguay,1,1,FIFA World Cup,TRUE
2010-06-14,Japan,Cameroon,1,0,FIFA World Cup,TRUE
2010-06-14,Netherlands,Denmark,2,0,FIFA World Cup,TRUE
2010-06-15,Brazil,North Korea,2,1,FIFA World Cup,TRUE
2010-06-15,Ivory Coast,Portugal,0,0,FIFA World Cup,TRUE
2010-06-15,New Zealand,Slovakia,1,1,FIFA World Cup,TRUE
2010-06-16,South Africa,Uruguay,0,3,FIFA World Cup,FALSE
2010-06-16,Spain,Switzerland,0,1,FIFA World Cup,TRUE
2010-06-17,Argentina,South Korea,4,1,FIFA World Cup,TRUE
2010-06-17,France,Mexico,0,2,FIFA World Cup,TRUE
2010-06-18,England,Algeria,0,0,FIFA World Cup,TRUE
2010-06-18,Germany,Serbia,0,1,FIFA World Cup,TRUE
2010-06-18,Slovenia,United States,2,2,FIFA World Cup,TRUE
2010-06-19,Ghana,Australia,1,1,FIFA World Cup,TRUE
2010-06-19,Netherlands,Japan,1,0,FIFA World Cup,TRUE
2010-06-20,Brazil,Ivory Coast,3,1,FIFA World Cup,TRUE
2010-06-20,Italy,New Zealand,1,1,FIFA World Cup,TRUE
2010-06-20,Slovakia,Paraguay,0,2,FIFA World Cup,TRUE
2010-06-20,Sudan,Tunisia,2,6,Friendly,FALSE
2010-06-21,Chile,Switzerland,1,0,FIFA World Cup,TRUE
2010-06-21,Portugal,North Korea,7,0,FIFA World Cup,TRUE
2010-06-21,Spain,Honduras,2,0,FIFA World Cup,TRUE
2010-06-22,Greece,Argentina,0,2,FIFA World Cup,TRUE
2010-06-22,Mexico,Uruguay,0,1,FIFA World Cup,TRUE
2010-06-22,Nigeria,South Korea,2,2,FIFA World Cup,TRUE
2010-06-22,South Africa,France,2,1,FIFA World Cup,FALSE
2010-06-23,Australia,Serbia,2,1,FIFA World Cup,TRUE
2010-06-23,Ghana,Germany,0,1,FIFA World Cup,TRUE
2010-06-23,Slovenia,England,0,1,FIFA World Cup,TRUE
2010-06-23,United States,Algeria,1,0,FIFA World Cup,TRUE
2010-06-24,Cameroon,Netherlands,1,2,FIFA World Cup,TRUE
2010-06-24,Denmark,Japan,1,3,FIFA World Cup,TRUE
2010-06-24,Paraguay,New Zealand,0,0,FIFA World Cup,TRUE
2010-06-25,Chile,Spain,1,2,FIFA World Cup,TRUE
2010-06-25,North Korea,Ivory Coast,0,3,FIFA World Cup,TRUE
2010-06-25,Portugal,Brazil,0,0,FIFA World Cup,TRUE
2010-06-25,Switzerland,Honduras,0,0,FIFA World Cup,TRUE
2010-06-26,Uruguay,South Korea,2,1,FIFA World Cup,TRUE
2010-06-26,United States,Ghana,1,2,FIFA World Cup,TRUE
2010-06-27,Argentina,Mexico,3,1,FIFA World Cup,TRUE
2010-06-27,Germany,England,4,1,FIFA World Cup,TRUE
2010-06-28,Brazil,Chile,3,0,FIFA World Cup,TRUE
2010-06-28,Netherlands,Slovakia,2,1,FIFA World Cup,TRUE
2010-06-29,Paraguay,Japan,0,0,FIFA World Cup,TRUE
2010-06-29,Spain,Portugal,1,0,FIFA World Cup,TRUE
2010-07-01,Tunisia,Botswana,0,1,African Cup of Nations qualification,FALSE
2010-07-02,Netherlands,Brazil,2,1,FIFA World Cup,TRUE
2010-07-02,Uruguay,Ghana,1,1,FIFA World Cup,TRUE
2010-07-03,Argentina,Germany,0,4,FIFA World Cup,TRUE
2010-07-03,Paraguay,Spain,0,1,FIFA World Cup,TRUE
2010-07-06,Uruguay,Netherlands,2,3,FIFA World Cup,TRUE
2010-07-07,Germany,Spain,0,1,FIFA World Cup,TRUE
2010-07-10,Uruguay,Germany,2,3,FIFA World Cup,TRUE
2010-07-11,Netherlands,Spain,0,1,FIFA World Cup,TRUE
2010-08-10,Bosnia and Herzegovina,Qatar,1,1,Friendly,FALSE
2010-08-10,Italy,Ivory Coast,0,1,Friendly,TRUE
2010-08-10,United States,Brazil,0,2,Friendly,FALSE
